name,team,position,draft_rank,jersey_number
Jaden Rashada,sacramento state,QB,368,
Noah Josey,virginia,IOL,369,77
Richard Young,alabama,RB,370,9
Jayden Virgin-Morgan,boise state,EDGE,371,5
Caleb Herring,tennessee,EDGE,372,31
Jelani McDonald,texas,S,373,4
Troy Bowles,michigan,LB,374,18
Mark Gronowski,iowa,QB,375,
Ethan Davis,tennessee,TE,376,0
Jontez Williams,iowa state,CB,377,3
Jordan Renaud,alabama,EDGE,378,11
Joshua Padilla,ohio state,IOL,379,62
Clev Lubin,louisville,EDGE,380,50
Andrew Rappleyea,penn state,TE,381,
Jimarion McCrimon,east carolina,OT,382,62
Jayden Wayne,california,EDGE,383,10
Djay Braswell,south carolina,RB,384,
Pat Coogan,indiana,IOL,385,78
Jaden Keller,virginia tech,LB,386,
Keon Keeley,alabama,EDGE,387,31
Lewis Carter,ucf,LB,388,
Malachi Nelson,utep,QB,389,
Justin Jefferson,alabama,LB,390,10
Jordan Castell,florida,S,391,14
Cam Miller,rutgers,CB,392,7
Rueben Owens,texas a&m,RB,393,4
Desmeal Leigh,youngstown state,OT,394,
Emmanuel Poku,east carolina,IOL,395,69
Kaleb Jackson,lsu,RB,396,28
Alex Birchmeier,penn state,IOL,397,
Stanquan Clark,louisville,LB,398,6
Cormani McClain,florida,CB,399,25
Joenel Aguero,georgia,S,400,8
